id	net_time	start_time	end_time	op	wf_curr_app	userid	status	user_type	comments	appid	grID	internalfileid	clientid	log_id
260	4.93000000	20230330100648	20230330100653	Caricamento Pagina	XXX	LFINI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000000256
1767	4.93000000	20230331090538	20230331090543	ClientsFunctions.asp --> Function ShowListCommission	yyy	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295130	9768FID	CL000000013526	LT000000001751
1171	4.92000000	20230330154526	20230330154531	ClientsFunctions.asp --> Function ShowListCommissionDueConvenzioni	yyy	MSCARINZI	GRRAMDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000293967	9432FID	CL000000013121	LT000000001162
7910	4.92000000	20230405111828	20230405111833	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0600F	MGUANDALINI	GRDISBURSEMENTSEG	I	yyy	GuaranteeRequest	GR000000295244	9754FID	CL000000013503	LT000000007847
1715	4.91000000	20230331084125	20230331084130	ClientsFunctions.asp --> Function ShowListCommission	yyy	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295130	9768FID	CL000000013526	LT000000001699
2921	4.91000000	20230403090313	20230403090318	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF1200	MGUANDALINI	GRAcceptanceMonitoringDeadLineSEG	I	yyy	GuaranteeRequest	GR000000295126	8164FID	CL000000011643	LT000000002900
10561	4.91000000	20230411114335	20230411114340	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF2000	LTGEMMA	GRDisbursementMonitoringDeadLineSEGFinal	I	yyy	GuaranteeRequest	GR000000293644	9415FID	CL000000013067	LT000000010485
9297	4.91000000	20230406131628	20230406131633	ClientsFunctions.asp --> Function ShowListCommission	yyy	SSCATOLINI	GRInadempimentoSiLiquidazione	I	yyy	GuaranteeRequest	GR000000057902	97FID	CL000000000259	LT000000009226
94	4.90000000	20230330090715	20230330090720	ClientsFunctions.asp --> Function ShowListCommission	yyy	MSCARINZI	GROrderMonitoring 	I	yyy	GuaranteeRequest	GR000000289827	8253FID	CL000000011734	LT000000000093
3879	4.89000000	20230403120534	20230403120539	ClientsFunctions.asp --> Function ShowListCommission	yyy	FRINALDI	GRISTDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000294967	9725FID	CL000000013429	LT000000003846
6077	4.89000000	20230404154708	20230404154713	Caricamento Pagina	XXX	DCARANGELO	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000006036
10668	4.89000000	20230411125656	20230411125701	ClientsFunctions.asp --> Function ShowListCommission	yyy	MSCARINZI	Completa	I	yyy	GuaranteeRequest	GR000000295393	7752FID	CL000000011168	LT000000010591
11181	4.89000000	20230412095618	20230412095623	ClientsFunctions.asp --> Sub PrintFID	yyy	FCATANIA	GRISTVerification	I	yyy	rptGuaranteeRequest	GR000000295437	9801FID	CL000000013570	LT000000011104
2937	4.88000000	20230403090527	20230403090532	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF1200	MGUANDALINI	GRAcceptanceMonitoringDeadLineSEG	I	yyy	GuaranteeRequest	GR000000295123	5408FID	CL000000007974	LT000000002916
2074	4.88000000	20230331110705	20230331110710	ClientsFunctions.asp --> Sub PrintFID	yyy	FRINALDI	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295176	9786FID	CL000000013538	LT000000002057
11416	4.87000000	20230412104038	20230412104043	Caricamento Pagina	XXX	MSCARINZI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000011335
9315	4.86000000	20230406132832	20230406132837	Caricamento Pagina	XXX	SDELGOBBO	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000009244
11770	4.86000000	20230412130715	20230412130720	Caricamento Pagina	XXX	FRINALDI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000011687
2116	4.86000000	20230331112017	20230331112022	Caricamento Pagina	XXX	ASERRA	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000002099
6392	4.86000000	20230404164135	20230404164140	Caricamento Pagina	XXX	DCARANGELO	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000006347
9119	4.84000000	20230406122442	20230406122447	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0600F	MGUANDALINI	GRDISBURSEMENTSEG	I	yyy	GuaranteeRequest	GR000000295375	9765FID	CL000000013515	LT000000009048
3691	4.84000000	20230403111213	20230403111218	ClientsFunctions.asp --> Sub PrintFID	yyy	FRINALDI	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295096	9781FID	CL000000013537	LT000000003659
10083	4.84000000	20230411092742	20230411092746	ClientsFunctions.asp --> Function ShowListCommission	yyy	LTGEMMA	GRDGDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000295235	9617FID	CL000000013334	LT000000010012
11072	4.84000000	20230412084549	20230412084554	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0500	DDESIMONE	GRLoanOfficer	I	yyy	GuaranteeRequest	GR000000295371	9801FID	CL000000013570	LT000000010995
10556	4.83000000	20230411114237	20230411114241	ClientsFunctions.asp --> Function ShowListCommission	yyy	LTGEMMA	GRDisbursementMonitoringDeadLineSEGFinal	I	yyy	GuaranteeRequest	GR000000293644	9415FID	CL000000013067	LT000000010480
